Ensemble ID,Gene symbol,log2FC vs BLAM,Timepoint,p-value,FDR,
ENSRNOG00000012347,Gata2,-1.323927057,FS30,0.00000192,2.13E-04,
ENSRNOG00000019090,Cct3,0.410055662,FS60,0.00000303,2.15E-04,
ENSRNOG00000017164,Afap1l2,-0.405625473,FS60,0.00000307,2.16E-04,
ENSRNOG00000000168,Gatm,0.412259152,FS30,0.000002,2.20E-04,
ENSRNOG00000001277,Mafk,0.769096064,FS30,0.00000211,2.30E-04,
ENSRNOG00000010888,Ankrd33b,0.41758074,FS30,0.00000214,2.32E-04,
ENSRNOG00000015567,Slc9a2,0.415825236,FS60,0.00000334,2.33E-04,
ENSRNOG00000042326,Smpdl3b,0.437045428,FS120,0.00000148,2.38E-04,
ENSRNOG00000005248,Slc1a4,0.526215612,FS30,0.00000222,2.39E-04,
ENSRNOG00000031930,Bin2,-0.589696958,FS60,0.00000353,2.42E-04,
ENSRNOG00000016090,Mtmr10,0.340280277,FS60,0.00000351,2.42E-04,
ENSRNOG00000013239,Tle4,-0.341214477,FS60,0.00000352,2.42E-04,
ENSRNOG00000026564,Ptpdc1,0.518268087,FS30,0.00000236,2.53E-04,
ENSRNOG00000012911,Erlin1,-0.476309087,FS30,0.00000239,2.54E-04,
ENSRNOG00000017090,RGD1308706,0.429792092,FS60,0.00000374,2.56E-04,
ENSRNOG00000011253,RGD1304810,-0.376116975,FS60,0.0000038,2.59E-04,
ENSRNOG00000018228,Cog2,-0.441682063,FS180,0.000000323,2.67E-04,
ENSRNOG00000021318,Epas1,0.405393041,FS60,0.00000397,2.70E-04,
ENSRNOG00000016210,Micalcl,0.749371676,FS120,0.00000178,2.84E-04,
ENSRNOG00000018569,Ahcyl1,0.336350087,FS60,0.00000425,2.86E-04,
ENSRNOG00000033942,Grin2a,0.515842548,FS120,0.00000185,2.87E-04,
ENSRNOG00000060065,NA,-0.936301008,FS120,0.00000186,2.87E-04,
ENSRNOG00000014863,Reck,-0.307510176,FS120,0.00000183,2.87E-04,
ENSRNOG00000024250,Wwc3,0.346632109,FS60,0.00000431,2.88E-04,
ENSRNOG00000008012,Abcb1a,-0.379026622,FS60,0.00000448,2.98E-04,
ENSRNOG00000010984,Anxa11,0.323459677,FS120,0.00000206,3.16E-04,
ENSRNOG00000005902,Ccdc34,-0.784329006,FS30,0.00000306,3.22E-04,
ENSRNOG00000012060,Gucy1b3,-0.415187409,FS30,0.00000313,3.28E-04,
ENSRNOG00000049985,Gprasp1,-0.376591122,FS120,0.0000022,3.29E-04,
ENSRNOG00000011967,Nphp4,0.324626736,FS120,0.00000218,3.29E-04,
ENSRNOG00000012876,Slc6a13,-0.632942003,FS120,0.00000222,3.29E-04,
ENSRNOG00000007302,Fbn1,0.369077111,FS120,0.00000232,3.41E-04,
ENSRNOG00000021817,Irak2,0.477009339,FS60,0.00000517,3.41E-04,
ENSRNOG00000007920,Ssbp3,0.321992941,FS120,0.0000024,3.48E-04,
ENSRNOG00000013213,Epha4,-0.387804604,FS60,0.00000549,3.59E-04,
ENSRNOG00000014265,Tnfrsf19,-0.346302909,FS60,0.00000546,3.59E-04,
ENSRNOG00000026589,Dpy19l1,-0.310229078,FS60,0.00000552,3.60E-04,
ENSRNOG00000002085,Thegl,-1.314190218,FS60,0.00000575,3.73E-04,
ENSRNOG00000032703,Rasgrp3,-0.623374996,FS60,0.0000059,3.81E-04,
ENSRNOG00000008289,Slc25a3,0.370200761,FS30,0.00000368,3.83E-04,
ENSRNOG00000050137,Ajap1,0.52264999,FS60,0.000006,3.86E-04,
ENSRNOG00000051536,Rfx4,0.319263539,FS60,0.00000615,3.94E-04,
ENSRNOG00000017511,Dcdc2,-0.535622566,FS120,0.00000277,4.00E-04,
ENSRNOG00000007089,Lgmn,-0.431707992,FS30,0.00000396,4.09E-04,
ENSRNOG00000007049,Bcl11a,-0.358665334,FS60,0.00000641,4.09E-04,
ENSRNOG00000008051,Itpk1,0.351241411,FS60,0.00000647,4.11E-04,
ENSRNOG00000010557,Smarcd2,0.479115836,FS60,0.00000668,4.23E-04,
ENSRNOG00000015380,Jup,-0.607835291,FS30,0.00000416,4.27E-04,
ENSRNOG00000013036,Epha8,0.831394333,FS120,0.00000324,4.58E-04,
ENSRNOG00000001785,Etv5,0.540038151,FS30,0.00000475,4.80E-04,
ENSRNOG00000015415,Rhoq,-0.348305941,FS30,0.00000472,4.80E-04,
ENSRNOG00000060542,Mid2,0.357215336,FS60,0.00000773,4.87E-04,
ENSRNOG00000012531,Ephb2,0.388429972,FS120,0.00000351,4.91E-04,
ENSRNOG00000001825,Pkp2,0.473906467,FS60,0.0000079,4.94E-04,
ENSRNOG00000017663,Dolpp1,-0.79652253,FS60,0.000008,4.98E-04,
ENSRNOG00000054508,Foxp2,-0.325437522,FS120,0.00000364,5.05E-04,
ENSRNOG00000001515,Zak,-0.354337405,FS60,0.0000082,5.08E-04,
ENSRNOG00000054203,Sim2,-0.412799077,FS360,0.000000991,5.08E-04,
