Ensemble ID,Gene symbol,log2FC vs BLAM,Timepoint,p-value,FDR,
ENSRNOG00000010706,Ccdc117,-0.917378362,FS30,0.00012253,6.13E-03,
ENSRNOG00000005180,Vstm2a,-0.323085881,FS60,0.000172599,6.18E-03,
ENSRNOG00000048782,Wnt7a,-0.31893615,FS60,0.000174078,6.21E-03,
ENSRNOG00000013928,Dsp,-1.025637436,FS60,0.000176527,6.29E-03,
ENSRNOG00000013729,RGD1306271,0.25176321,FS120,0.000106581,6.32E-03,
ENSRNOG00000000902,Hsph1,0.416111356,FS60,0.0001796,6.38E-03,
ENSRNOG00000014718,Acsl3,0.27565401,FS60,0.00018088,6.40E-03,
ENSRNOG00000004578,Cthrc1,-1.059782337,FS60,0.00018105,6.40E-03,
ENSRNOG00000018242,Camkk1,0.351998665,FS60,0.000183028,6.42E-03,
ENSRNOG00000025042,Pde3a,0.448848126,FS60,0.000183062,6.42E-03,
ENSRNOG00000002125,Ccni,-0.287225547,FS30,0.000128785,6.42E-03,
ENSRNOG00000023496,Fam189a1,0.477747075,FS30,0.000129111,6.42E-03,
ENSRNOG00000026455,Gpd1l,-0.477373426,FS30,0.000130251,6.45E-03,
ENSRNOG00000016289,Bmpr1b,-0.404502568,FS120,0.000109257,6.46E-03,
ENSRNOG00000057589,Rnf11l1,-0.369632876,FS30,0.000132022,6.46E-03,
ENSRNOG00000050404,Pmepa1,0.298733162,FS30,0.000132615,6.46E-03,
ENSRNOG00000046829,Kdr,-0.565810993,FS60,0.00018516,6.47E-03,
ENSRNOG00000031801,Ephb3,-0.491495086,FS60,0.000186704,6.51E-03,
ENSRNOG00000003990,Grb2,0.266742026,FS60,0.000187043,6.51E-03,
ENSRNOG00000015496,Tpm4,0.545376913,FS30,0.00013719,6.66E-03,
ENSRNOG00000006470,Camk1g,0.554893076,FS30,0.000140858,6.82E-03,
ENSRNOG00000003967,Vmp1,0.362311127,FS60,0.000197535,6.84E-03,
ENSRNOG00000042432,Nek11,0.356190593,FS30,0.000141835,6.85E-03,
ENSRNOG00000007047,Eps8,-0.310443193,FS360,0.0000273,6.88E-03,
ENSRNOG00000001432,Dtx2,0.403329213,FS60,0.000199493,6.89E-03,
ENSRNOG00000001652,Erg,-0.424293576,FS60,0.000202183,6.94E-03,
ENSRNOG00000054756,NA,-0.99581691,FS60,0.000201763,6.94E-03,
ENSRNOG00000012956,Tgm2,0.815825658,FS60,0.000202766,6.94E-03,
ENSRNOG00000050450,LOC100911951,0.486666767,FS60,0.00020442,6.98E-03,
ENSRNOG00000009005,Slco2a1,0.795621716,FS60,0.000205378,7.00E-03,
ENSRNOG00000018936,LOC100360638,-0.348877645,FS30,0.00014595,7.00E-03,
ENSRNOG00000029292,LOC500877,0.418529146,FS360,0.0000283,7.03E-03,
ENSRNOG00000004345,Daam1,0.252587601,FS60,0.000207589,7.06E-03,
ENSRNOG00000014658,Zfp423,-0.301888954,FS360,0.0000293,7.06E-03,
ENSRNOG00000060054,Doc2b,0.376132729,FS120,0.000123231,7.17E-03,
ENSRNOG00000006911,Sptb,0.267477039,FS120,0.000123199,7.17E-03,
ENSRNOG00000007869,Wscd1,-0.281892083,FS60,0.000218915,7.39E-03,
ENSRNOG00000052420,AABR07034980.1,-0.286336499,FS60,0.000220071,7.41E-03,
ENSRNOG00000046460,Tatdn3,-0.669459226,FS60,0.000222367,7.48E-03,
ENSRNOG00000055482,NA,0.459157487,FS60,0.00022332,7.49E-03,
ENSRNOG00000056135,Tsc22d3,0.581862832,FS30,0.000157939,7.52E-03,
ENSRNOG00000006956,Adamtsl1,-0.326630919,FS120,0.000130246,7.52E-03,
ENSRNOG00000007489,Zfp41,-0.826586772,FS30,0.000159927,7.57E-03,
ENSRNOG00000015971,Slc12a2,0.329381112,FS60,0.00022638,7.58E-03,
ENSRNOG00000025502,Arhgef37,0.378545219,FS60,0.000228723,7.62E-03,
ENSRNOG00000023812,Raver2,0.315438928,FS30,0.000161832,7.64E-03,
ENSRNOG00000015300,Spsb3,-0.304733903,FS60,0.000230042,7.65E-03,
ENSRNOG00000005034,Arhgef25,-0.358396011,FS60,0.00023219,7.69E-03,
ENSRNOG00000050500,Tob2,0.666479304,FS60,0.000233887,7.71E-03,
ENSRNOG00000038891,Grxcr1,-0.612238476,FS60,0.00023465,7.72E-03,
ENSRNOG00000014613,Ddah1,-0.379427943,FS120,0.00013588,7.75E-03,
ENSRNOG00000012199,Sox2,-0.5269014,FS120,0.000135694,7.75E-03,
ENSRNOG00000060587,NA,-0.991038438,FS120,0.000136951,7.78E-03,
ENSRNOG00000004956,Jade2,0.302762157,FS60,0.000239702,7.86E-03,
ENSRNOG00000002983,Nfix,-0.270410561,FS60,0.00024086,7.88E-03,
ENSRNOG00000005284,Itpka,0.341798619,FS60,0.000241902,7.90E-03,
ENSRNOG00000002525,Ptgs2,-0.641210432,FS30,0.000169748,7.96E-03,
ENSRNOG00000038980,Lypd6,-0.540576976,FS60,0.000244959,7.98E-03,
ENSRNOG00000019093,Nrg2,0.301874907,FS120,0.000141691,7.99E-03,
ENSRNOG00000006094,Cd44,0.461859819,FS60,0.00024593,8.00E-03,
ENSRNOG00000000999,Smurf1,0.320767978,FS60,0.000247051,8.02E-03,
ENSRNOG00000010161,Myo10,-0.293530491,FS360,0.0000347,8.06E-03,
ENSRNOG00000018000,Ranbp10,0.272746286,FS60,0.000251611,8.11E-03,
ENSRNOG00000022932,Serhl2,-0.296057625,FS60,0.000251743,8.11E-03,
ENSRNOG00000015143,Siah1,0.288052497,FS60,0.000252041,8.11E-03,
ENSRNOG00000006639,Scn9a,-0.286572744,FS120,0.00014547,8.14E-03,
ENSRNOG00000060308,A230083G16Rik,-0.346075495,FS120,0.00014722,8.15E-03,
ENSRNOG00000047218,Clic5,0.425235348,FS60,0.000254443,8.17E-03,
ENSRNOG00000022753,Mast3,0.324651356,FS30,0.000176726,8.26E-03,
ENSRNOG00000025625,Rnase4,-0.556363521,FS60,0.000258488,8.26E-03,
ENSRNOG00000000571,Psap,0.366975241,FS180,0.0000189,8.27E-03,
ENSRNOG00000003038,Sft2d2,0.883214431,FS180,0.0000195,8.27E-03,
ENSRNOG00000024039,Serinc5,-0.261457854,FS60,0.00026107,8.31E-03,
ENSRNOG00000019193,Stx1b,-0.29598894,FS60,0.000260829,8.31E-03,
ENSRNOG00000006913,Rpain,-0.478983051,FS30,0.000178889,8.31E-03,
ENSRNOG00000018808,Vip,0.998859569,FS30,0.000178807,8.31E-03,
ENSRNOG00000005148,Scrt2,0.593753239,FS60,0.000262282,8.33E-03,
ENSRNOG00000059538,Clec2g,0.359679381,FS30,0.000180541,8.34E-03,
ENSRNOG00000001793,Heg1,0.270893628,FS30,0.000180558,8.34E-03,
ENSRNOG00000017212,Spsb1,0.792710341,FS60,0.000264654,8.39E-03,
ENSRNOG00000017737,Dgkz,0.267852376,FS120,0.000152716,8.39E-03,
ENSRNOG00000016949,Slc25a33,0.293352162,FS60,0.00026714,8.43E-03,
ENSRNOG00000011431,Mfhas1,0.313536778,FS60,0.000270407,8.50E-03,
ENSRNOG00000005964,Nr4a3,0.406226564,FS30,0.000185263,8.53E-03,
ENSRNOG00000001427,Orai2,0.439044748,FS60,0.000273594,8.58E-03,
ENSRNOG00000030800,Igdcc3,0.401853471,FS60,0.000274417,8.59E-03,
ENSRNOG00000002210,Hsd17b11,0.470340655,FS60,0.00027615,8.63E-03,
ENSRNOG00000056376,Dusp22,-0.291933831,FS30,0.000188938,8.67E-03,
ENSRNOG00000021129,RGD1308428,0.247056556,FS60,0.000279822,8.70E-03,
ENSRNOG00000019791,Sipa1l2,0.308269816,FS60,0.000279435,8.70E-03,
ENSRNOG00000024125,Slain1,0.301093864,FS30,0.0001913,8.75E-03,
ENSRNOG00000048686,LOC100360856,-0.31493749,FS60,0.000283446,8.78E-03,
ENSRNOG00000061519,Asap2,0.295397586,FS60,0.000284053,8.78E-03,
ENSRNOG00000018336,Eps8l2,-0.844436876,FS120,0.000161646,8.82E-03,
ENSRNOG00000023112,LOC500594,0.632018043,FS60,0.000285796,8.82E-03,
ENSRNOG00000053655,NA,-1.184850893,FS180,0.0000227,8.89E-03,
ENSRNOG00000012008,S100a3,-1.039369719,FS180,0.0000227,8.89E-03,
ENSRNOG00000001525,Igsf11,0.302469956,FS60,0.000290101,8.91E-03,
ENSRNOG00000005391,Prex2,0.352217777,FS120,0.000164377,8.93E-03,
ENSRNOG00000051875,NA,0.728020472,FS30,0.000197307,8.97E-03,
ENSRNOG00000039649,Lnp1,-0.821839733,FS60,0.000293167,8.99E-03,
ENSRNOG00000046472,Arfgap3,-0.431525853,FS30,0.000198327,8.99E-03,
ENSRNOG00000021702,Mcmdc2,0.379053938,FS60,0.000294282,9.00E-03,
ENSRNOG00000060937,NA,0.310972158,FS120,0.000166525,9.01E-03,
ENSRNOG00000008190,LOC100911867,0.303390881,FS120,0.000168421,9.08E-03,
ENSRNOG00000008672,Chmp5,-0.489356792,FS30,0.000201805,9.12E-03,
ENSRNOG00000054860,Clec12a,-0.640015234,FS60,0.00029883,9.12E-03,
ENSRNOG00000007814,Kdm3a,0.302520112,FS60,0.00030137,9.18E-03,
ENSRNOG00000012681,Lgals9,-0.745930741,FS60,0.000302803,9.21E-03,
ENSRNOG00000026643,Chordc1,0.297135911,FS60,0.00030502,9.25E-03,
ENSRNOG00000020497,Plekha1,0.288697337,FS60,0.000305382,9.25E-03,
ENSRNOG00000028636,Xkr5,-0.792210857,FS120,0.000172202,9.25E-03,
ENSRNOG00000006934,Acvr1b,0.257159885,FS60,0.000306594,9.27E-03,
ENSRNOG00000053045,Wscd2,0.266158754,FS120,0.000174054,9.32E-03,
ENSRNOG00000007206,4930452B06Rik,-0.269878053,FS120,0.000175095,9.34E-03,
ENSRNOG00000023720,Ntm,-0.311162202,FS360,0.0000409,9.35E-03,
ENSRNOG00000055298,Vom2r80,0.451010198,FS120,0.000176772,9.40E-03,
ENSRNOG00000029049,Zdhhc14,0.301749272,FS120,0.000180806,9.58E-03,
ENSRNOG00000012693,Pmpcb,0.406862192,FS60,0.00031942,9.64E-03,
ENSRNOG00000002089,Ccng2,-0.790734403,FS30,0.000214525,9.64E-03,
ENSRNOG00000016207,Galnt1,0.293613143,FS60,0.000320315,9.64E-03,
ENSRNOG00000029784,Pak1,0.318395504,FS60,0.0003211,9.65E-03,
ENSRNOG00000008619,Agtrap,0.764741841,FS60,0.000324278,9.69E-03,
ENSRNOG00000003553,Efemp1,-0.342139387,FS60,0.000323742,9.69E-03,
ENSRNOG00000015153,Ints3,-0.304707344,FS30,0.000218378,9.78E-03,
ENSRNOG00000012270,Med26,-0.322896192,FS30,0.000218965,9.78E-03,
ENSRNOG00000061543,Ap2b1,0.26641022,FS60,0.00033083,9.84E-03,
ENSRNOG00000001436,Ywhag,0.30880461,FS60,0.000330201,9.84E-03,
ENSRNOG00000059997,Brip1,0.472352177,FS60,0.000334125,9.91E-03,
ENSRNOG00000012095,Pkia,-0.267730013,FS60,0.000334295,9.91E-03,
ENSRNOG00000018018,Kcnip2,0.493132551,FS60,0.000338845,1.00E-02,
ENSRNOG00000003148,Timp2,0.329671634,FS60,0.000339217,1.00E-02,
ENSRNOG00000020087,Zfp90,-0.599456135,FS30,0.000227865,1.01E-02,
ENSRNOG00000007649,Dnm2,0.243413303,FS60,0.000346773,1.02E-02,
ENSRNOG00000042068,Otud7b,0.250322504,FS60,0.000350409,1.03E-02,
ENSRNOG00000002473,RGD1307830,-0.343688842,FS30,0.000231474,1.03E-02,
ENSRNOG00000018091,Gdi2,0.263711003,FS30,0.000233998,1.04E-02,
ENSRNOG00000001959,Mx1,-0.922675578,FS120,0.000197847,1.04E-02,
ENSRNOG00000005176,Map7d2,0.256724383,FS60,0.000358661,1.04E-02,
ENSRNOG00000033581,NA,0.422661602,FS30,0.000237683,1.05E-02,
ENSRNOG00000009899,Skil,0.305838648,FS30,0.00023849,1.05E-02,
ENSRNOG00000057008,NA,0.715260968,FS60,0.0003604,1.05E-02,
ENSRNOG00000006010,Slc6a20,-0.45884487,FS120,0.00020421,1.06E-02,
ENSRNOG00000046969,Ubxn7,0.329445915,FS60,0.000366118,1.06E-02,
ENSRNOG00000049034,Ptrh1,-0.286767677,FS60,0.000368109,1.06E-02,
ENSRNOG00000021231,Lzts3,-0.305950221,FS60,0.000370009,1.07E-02,
ENSRNOG00000019875,Matr3,0.24122101,FS60,0.000370942,1.07E-02,
ENSRNOG00000004131,Pkn1,0.256814218,FS60,0.000370899,1.07E-02,
ENSRNOG00000000774,Gabbr1,-0.277959128,FS60,0.000371922,1.07E-02,
ENSRNOG00000000655,Ptprc,-0.394528152,FS120,0.000206968,1.07E-02,
ENSRNOG00000018285,Kcna2,-0.591596175,FS60,0.000374052,1.07E-02,
ENSRNOG00000015294,RGD1306215,-0.375643089,FS60,0.000377471,1.08E-02,
ENSRNOG00000027733,Lair1,-1.234711438,FS30,0.000249094,1.09E-02,
ENSRNOG00000002327,Gabrb1,0.339704984,FS120,0.000215037,1.10E-02,
ENSRNOG00000010258,Vhl,0.696370822,FS30,0.000253658,1.10E-02,
ENSRNOG00000036571,Ces2c,-1.636536287,FS60,0.000388764,1.11E-02,
ENSRNOG00000055650,Pou2f2,-0.462409936,FS60,0.000390683,1.11E-02,
ENSRNOG00000028353,Sox13,-0.378808209,FS30,0.000259275,1.12E-02,
ENSRNOG00000055608,Zfp94,-0.506400441,FS60,0.000396908,1.12E-02,
ENSRNOG00000004889,Vangl2,-0.586122288,FS30,0.000262893,1.13E-02,
ENSRNOG00000023664,Lepr,-0.415379879,FS120,0.000222499,1.13E-02,
ENSRNOG00000029441,Klhl2,0.302743909,FS60,0.000401049,1.13E-02,
ENSRNOG00000007726,Mcam,-0.517488182,FS120,0.000223445,1.14E-02,
ENSRNOG00000019181,Synpo,-0.278031396,FS60,0.000404106,1.14E-02,
ENSRNOG00000015736,Dhrs3,-0.460888249,FS120,0.000226202,1.15E-02,
ENSRNOG00000008865,Stac,0.440771855,FS120,0.000227948,1.15E-02,
ENSRNOG00000007142,B3gat1,-0.236849401,FS60,0.000409888,1.16E-02,
ENSRNOG00000021324,RGD1565059,-0.479769434,FS60,0.000411367,1.16E-02,
ENSRNOG00000037148,Adap2,0.428539222,FS60,0.000413206,1.16E-02,
ENSRNOG00000008065,Wwc1,-0.264138648,FS60,0.000413505,1.16E-02,
ENSRNOG00000015894,Dock8,-0.326501205,FS60,0.000414979,1.16E-02,
ENSRNOG00000016361,Plcd4,-0.358957166,FS120,0.000232759,1.17E-02,
ENSRNOG00000005061,Dlst,-0.301084168,FS30,0.000272212,1.17E-02,
ENSRNOG00000003847,Gid4,-0.488042322,FS30,0.000273999,1.17E-02,
ENSRNOG00000004753,Napb,-0.269652996,FS30,0.000273239,1.17E-02,
ENSRNOG00000006600,Unk,0.361785179,FS30,0.000275389,1.17E-02,
ENSRNOG00000012726,Zbtb5,-0.442796627,FS30,0.00027651,1.18E-02,
ENSRNOG00000010121,Lef1,-0.261038275,FS60,0.000422353,1.18E-02,
ENSRNOG00000011504,Akap2,0.259917483,FS30,0.000279326,1.18E-02,
ENSRNOG00000056174,Pdzd4,-0.330401483,FS30,0.000279193,1.18E-02,
ENSRNOG00000012810,Rfesd,-0.54790457,FS30,0.000279373,1.18E-02,
ENSRNOG00000009008,Rab39a,-0.536780467,FS30,0.000281041,1.18E-02,
ENSRNOG00000004612,Ppp1cb,0.230664128,FS60,0.000425801,1.18E-02,
ENSRNOG00000015845,Fam129b,-0.348021884,FS30,0.000284582,1.19E-02,
ENSRNOG00000012645,Mecom,-0.574974611,FS60,0.000430755,1.20E-02,
ENSRNOG00000046343,AABR07067896.1,-0.588995807,FS30,0.000286227,1.20E-02,
ENSRNOG00000036841,Cbx5,-0.525838119,FS30,0.000288387,1.20E-02,
ENSRNOG00000006305,Slc38a2,-0.419728476,FS30,0.00028864,1.20E-02,
ENSRNOG00000016752,Crispld2,0.726526376,FS60,0.000433197,1.20E-02,
ENSRNOG00000021735,Akr1cl,0.517472683,FS30,0.00029032,1.20E-02,
ENSRNOG00000018784,Jph3,0.305317105,FS120,0.000240465,1.21E-02,
ENSRNOG00000010412,Ccdc180,-0.307072624,FS120,0.000244253,1.21E-02,
ENSRNOG00000032136,Cdc42ep3,-0.374083484,FS120,0.000246204,1.21E-02,
ENSRNOG00000016640,Dner,-0.289180572,FS120,0.000243362,1.21E-02,
ENSRNOG00000013656,Lpar1,-0.268649606,FS120,0.000245535,1.21E-02,
ENSRNOG00000005879,Maml2,0.346535119,FS120,0.000246322,1.21E-02,
ENSRNOG00000054667,NA,-0.531983734,FS120,0.000241568,1.21E-02,
ENSRNOG00000010531,Oprd1,0.516417469,FS120,0.000244076,1.21E-02,
ENSRNOG00000057996,Phactr3,0.228953902,FS120,0.000247378,1.21E-02,
ENSRNOG00000020650,Slc17a7,0.345427281,FS120,0.000248161,1.21E-02,
ENSRNOG00000024212,Papd5,-0.279540581,FS30,0.000293915,1.21E-02,
ENSRNOG00000009471,Epsti1,-0.673421381,FS30,0.000295813,1.22E-02,
ENSRNOG00000001068,Rac1,0.29509703,FS30,0.000295451,1.22E-02,
ENSRNOG00000004972,Upp1,0.894400131,FS30,0.00029645,1.22E-02,
ENSRNOG00000001079,Daglb,0.36910649,FS60,0.000440625,1.22E-02,
ENSRNOG00000010427,Ipo7,0.258396314,FS60,0.000441493,1.22E-02,
ENSRNOG00000002139,RGD1311575,-0.314108526,FS120,0.000251554,1.22E-02,
ENSRNOG00000048441,Wdr82,-0.300208727,FS30,0.000299746,1.23E-02,
ENSRNOG00000011280,Mllt3,0.218272267,FS120,0.000256817,1.24E-02,
ENSRNOG00000015035,Myo7b,-2.57899127,FS30,0.000307571,1.25E-02,
ENSRNOG00000003809,Sat1,-0.242698325,FS120,0.000261121,1.25E-02,
ENSRNOG00000026502,Dscc1,-0.805114792,FS30,0.000309291,1.25E-02,
ENSRNOG00000011044,Clmn,0.277477692,FS60,0.000459844,1.26E-02,
ENSRNOG00000061215,Crym,-0.455836805,FS60,0.000459698,1.26E-02,
ENSRNOG00000031590,NA,-0.348741684,FS120,0.000265629,1.27E-02,
ENSRNOG00000026408,Rnf169,0.277933303,FS60,0.000464035,1.27E-02,
ENSRNOG00000055880,NA,0.860387717,FS120,0.000266886,1.27E-02,
ENSRNOG00000015310,Lrrc32,-0.774164829,FS120,0.000268056,1.27E-02,
ENSRNOG00000025443,Map1lc3a,-0.687466844,FS60,0.000465807,1.27E-02,
ENSRNOG00000047339,Pja1,-0.351833389,FS60,0.000470142,1.28E-02,
ENSRNOG00000013798,Fnbp1l,0.232775151,FS60,0.000471355,1.28E-02,
ENSRNOG00000004072,Myo1c,0.486631332,FS60,0.000476133,1.30E-02,
ENSRNOG00000007134,Strap,0.600983506,FS30,0.000321504,1.30E-02,
ENSRNOG00000007172,Map4k3,0.259208144,FS60,0.000479162,1.30E-02,
ENSRNOG00000020014,Myh14,-0.374144317,FS60,0.000478775,1.30E-02,
ENSRNOG00000052731,AABR07059243.1,-0.263634707,FS60,0.000485575,1.30E-02,
ENSRNOG00000016706,Fanca,0.493620146,FS60,0.000485093,1.30E-02,
ENSRNOG00000019120,Hmgcs2,0.685832172,FS60,0.000485376,1.30E-02,
ENSRNOG00000004168,Slc35e4,-0.376279329,FS60,0.000483589,1.30E-02,
ENSRNOG00000009971,Plekha8,-0.336516254,FS30,0.000328167,1.31E-02,
ENSRNOG00000054990,NA,0.33227632,FS30,0.000330371,1.32E-02,
ENSRNOG00000011132,LOC100362814,0.243601877,FS120,0.000282866,1.33E-02,
ENSRNOG00000052873,Npnt,-0.595156826,FS120,0.00028432,1.33E-02,
ENSRNOG00000058940,Rab11fip1,-1.039278215,FS120,0.000286025,1.33E-02,
ENSRNOG00000008754,Flvcr2,-0.555488387,FS60,0.00049695,1.33E-02,
ENSRNOG00000010232,Enpp5,-0.276557427,FS60,0.00049976,1.34E-02,
ENSRNOG00000012184,Urgcp,-0.271821176,FS30,0.000337895,1.34E-02,
ENSRNOG00000015488,Tead1,0.315867221,FS60,0.000506064,1.35E-02,
ENSRNOG00000013578,Trem2,-0.931082372,FS60,0.000506919,1.35E-02,
ENSRNOG00000018838,Paox,-0.377100596,FS120,0.000291623,1.35E-02,
ENSRNOG00000011567,Rpusd4,-0.841263814,FS30,0.000341757,1.36E-02,
ENSRNOG00000007197,Nr1h4,-0.288316968,FS60,0.000514247,1.36E-02,
ENSRNOG00000020337,Sla2,-0.30232429,FS60,0.000513348,1.36E-02,
ENSRNOG00000017297,Cab39,0.247077027,FS60,0.000515508,1.37E-02,
ENSRNOG00000025151,Ildr2,-0.306160097,FS60,0.000519194,1.37E-02,
ENSRNOG00000015519,Ces1d,1.21936281,FS30,0.000350062,1.38E-02,
ENSRNOG00000033772,Serpinb9,-0.788772499,FS30,0.000349467,1.38E-02,
ENSRNOG00000060100,Casc5,-0.920321416,FS30,0.000351995,1.39E-02,
ENSRNOG00000009329,Nr1d1,-0.312941427,FS60,0.000531408,1.40E-02,
ENSRNOG00000013920,Arhgap26,0.316953007,FS60,0.000532983,1.40E-02,
ENSRNOG00000005818,RGD1563349,-0.236775302,FS120,0.000306263,1.41E-02,
ENSRNOG00000010475,Casp3,-0.514303814,FS30,0.000359673,1.41E-02,
ENSRNOG00000005678,Lamb1,0.263005068,FS60,0.000536339,1.41E-02,
ENSRNOG00000047605,Ptprk,-0.244518336,FS120,0.000309469,1.41E-02,
ENSRNOG00000000130,Dnajb5,0.367894135,FS60,0.000538209,1.41E-02,
ENSRNOG00000015113,Mocos,-0.968048897,FS30,0.000363271,1.42E-02,
ENSRNOG00000050761,Serpina10,0.5587939,FS30,0.000366913,1.43E-02,
ENSRNOG00000005285,Fbxo33,-0.300641802,FS30,0.000370038,1.43E-02,
ENSRNOG00000019740,Hdgfrp3,-0.252494497,FS30,0.000370492,1.43E-02,
ENSRNOG00000055160,NA,-0.443444553,FS180,0.0000394,1.43E-02,
ENSRNOG00000005578,Zbtb44,-0.296818824,FS30,0.00037207,1.43E-02,
ENSRNOG00000000536,Mdga1,0.4178473,FS120,0.000316945,1.43E-02,
ENSRNOG00000016509,Usp10,0.264481993,FS60,0.000549694,1.44E-02,
ENSRNOG00000005387,Rbm3,0.423277663,FS30,0.000376333,1.44E-02,
ENSRNOG00000008151,Plscr4,-0.432799874,FS30,0.000381892,1.46E-02,
ENSRNOG00000019295,Rab12,0.270356662,FS60,0.000559761,1.46E-02,
ENSRNOG00000010453,Klhl7,-0.244260354,FS30,0.000385784,1.47E-02,
ENSRNOG00000034031,Vstm2l,-0.418940509,FS30,0.000385808,1.47E-02,
ENSRNOG00000002896,Prdx6,0.518740385,FS60,0.000561299,1.47E-02,
ENSRNOG00000014795,Nr2f1,-0.385546347,FS30,0.000390951,1.48E-02,
ENSRNOG00000017075,Slc35e2b,0.265070171,FS120,0.000330058,1.48E-02,
ENSRNOG00000047782,LOC100910885,-0.676473233,FS120,0.000331433,1.49E-02,
ENSRNOG00000004964,Erbb3,-0.505082038,FS60,0.000572692,1.49E-02,
ENSRNOG00000000190,Ep300,-0.256346762,FS30,0.000394993,1.49E-02,
ENSRNOG00000016753,Slc14a1,-0.417388281,FS60,0.000577305,1.50E-02,
ENSRNOG00000007234,Cyp51,-0.462422417,FS30,0.000402313,1.50E-02,
ENSRNOG00000030568,Rgs12,0.311294402,FS30,0.000404521,1.50E-02,
ENSRNOG00000002997,Slc9a3r2,-0.50575057,FS30,0.000404116,1.50E-02,
ENSRNOG00000017017,Zbtb43,-0.799959799,FS30,0.000404103,1.50E-02,
ENSRNOG00000046649,AABR07006049.1,-1.263720644,FS60,0.000580255,1.50E-02,
ENSRNOG00000008174,Appl2,-0.29031083,FS30,0.000407297,1.51E-02,
ENSRNOG00000019009,Arrdc2,0.632783758,FS60,0.000584361,1.51E-02,
ENSRNOG00000056947,AABR07025272.1,-0.945353688,FS60,0.000586584,1.51E-02,
ENSRNOG00000008659,Arhgap21,0.277839485,FS60,0.000588866,1.52E-02,
ENSRNOG00000003781,Atp10b,-0.325154601,FS120,0.000340065,1.52E-02,
ENSRNOG00000007793,Pnrc1,-0.63345541,FS120,0.000341074,1.52E-02,
ENSRNOG00000005998,Smoc1,-0.403428676,FS120,0.000343115,1.52E-02,
ENSRNOG00000055892,AABR07043395.1,1.416236589,FS30,0.000413794,1.52E-02,
ENSRNOG00000027012,Usp54,0.391722026,FS60,0.000597074,1.53E-02,
ENSRNOG00000029798,Lrrc4c,-0.311093439,FS60,0.000606774,1.55E-02,
ENSRNOG00000031126,Tecta,-0.605984183,FS60,0.00060649,1.55E-02,
ENSRNOG00000000885,Auts2,0.292559405,FS120,0.000351469,1.55E-02,
ENSRNOG00000018937,Gstm7,-0.297660291,FS120,0.000355663,1.55E-02,
ENSRNOG00000002171,Phldb2,-0.29261065,FS120,0.000355917,1.55E-02,
ENSRNOG00000005697,Slc6a11,-0.239704267,FS120,0.000354028,1.55E-02,
ENSRNOG00000018830,Aff3,0.315043311,FS120,0.000358649,1.56E-02,
ENSRNOG00000000560,Lrrc20,-0.392235758,FS30,0.000426529,1.56E-02,
ENSRNOG00000003098,Prom1,-0.436397707,FS30,0.00042728,1.56E-02,
ENSRNOG00000021285,Celsr1,0.40705058,FS60,0.000619081,1.58E-02,
ENSRNOG00000018070,Rnf182,0.290268557,FS120,0.000365318,1.58E-02,
ENSRNOG00000015939,Ccdc25,-0.382939954,FS30,0.000435386,1.59E-02,
ENSRNOG00000023021,Msl2,-0.267667955,FS30,0.000436879,1.59E-02,
ENSRNOG00000054695,Calcrl,-0.311088625,FS60,0.000624858,1.59E-02,
ENSRNOG00000015645,Rnf138,0.271999594,FS60,0.000631534,1.60E-02,
ENSRNOG00000015253,Hsf4,-0.591771254,FS120,0.000374926,1.61E-02,
ENSRNOG00000016670,Pip4k2a,0.289560037,FS120,0.000374415,1.61E-02,
ENSRNOG00000009052,Igf2bp3,-0.692494851,FS60,0.00063565,1.61E-02,
ENSRNOG00000023280,Als2,0.242706878,FS60,0.00063882,1.62E-02,
ENSRNOG00000005772,Hacd4,0.542523607,FS60,0.000640152,1.62E-02,
ENSRNOG00000010760,E2f5,-0.336862266,FS30,0.000447054,1.62E-02,
ENSRNOG00000019773,AABR07044089.1,0.293747986,FS60,0.000642373,1.62E-02,
ENSRNOG00000007519,Tmem43,-0.550134616,FS30,0.000449168,1.62E-02,
ENSRNOG00000002960,LOC100909913,-0.53361238,FS60,0.000644522,1.62E-02,
ENSRNOG00000007367,Sept4,-0.228521772,FS120,0.000389886,1.64E-02,
ENSRNOG00000052134,Pigy,-0.522488825,FS120,0.000388188,1.64E-02,
ENSRNOG00000017206,Igfbp5,-0.67869536,FS60,0.000656536,1.65E-02,
ENSRNOG00000003269,Atp6v0e1,0.27654185,FS60,0.00066632,1.67E-02,
ENSRNOG00000018416,Ttbk1,-0.231471738,FS60,0.000669707,1.67E-02,
ENSRNOG00000033663,P4ha2,0.256139192,FS120,0.000397336,1.67E-02,
ENSRNOG00000001730,Acap2,0.271963895,FS60,0.000673582,1.67E-02,
ENSRNOG00000016182,Tgfa,0.356403349,FS60,0.000672976,1.67E-02,
ENSRNOG00000028362,LOC689991,0.24888881,FS120,0.000400561,1.67E-02,
ENSRNOG00000014276,Plce1,0.287788519,FS120,0.000399668,1.67E-02,
ENSRNOG00000001451,Fkbp6,-2.329970295,FS30,0.000471311,1.69E-02,
ENSRNOG00000030118,Msn,0.394213748,FS30,0.00047094,1.69E-02,
ENSRNOG00000024213,Golim4,-0.299950412,FS30,0.000475737,1.70E-02,
ENSRNOG00000007268,RGD1561796,-0.29196299,FS60,0.00068562,1.70E-02,
ENSRNOG00000031167,Srxn1,0.347881848,FS360,0.0000824,1.70E-02,
